Company;Var;Sales/Revenue;Cost of Goods Sold (COGS) incl. D&A;Short term Debt;Long Term Debt;Total Assets/Liabilities;Total Equity;Net Operating Cash Flow;Net Investing CashFlow;FreeCashFlow;Variation EPS année suivante(+ =>1 & - =>0)
L'Oreal;Var 2020_2021;0.153472420691626;0.12556470900877;4.39602803738318;-0.034535686876439;-0.0136216662462449;-0.186420221386944;0.0426158375949171;0.380826070481243;0.0313811348294107;1
LVMH;Var 2018_2019;0.146158117285269;0.159613909486065;0.527498996386993;1.57685262281432;0.298882907133244;0.129811231852048;0.370004701457452;-0.61500547645126;0.627352338364077;0
LVMH;Var 2019_2020;-0.16804546301472;-0.123807948845157;0.391458607095926;0.598164663306191;0.126042670479862;0.0120943568356575;-0.0640871654083734;0.488301119023398;0.0155713304327914;1
LVMH;Var 2020_2021;0.438153680768628;0.281157596728531;-0.243176881669657;-0.0274160938131824;0.153122728234764;0.259599783666847;0.710330919424329;-4.44201457919152;0.801916572717024;1
Mercedes Group;Var 2020_2021;0.0994843075103878;0.0245130160243045;-0.116349680170576;-0.15017506557737;-0.0906637922285178;0.175411258193034;0.0992745835572273;0.0246067590717957;0.203664637454041;0
Mr Bricolage;Var 2019_2020;0.0350375968188757;0.0162918621582268;-0.0275526742301459;0.0200578049043072;-0.015184517960476;0.687547593282834;-0.787251926219939;-0.459707529558183;-0.828598756575801;1
Mr Bricolage;Var 2020_2021;0.102144488021237;0.0654958052756419;9.15166666666667;-0.205743141759964;0.0832906038575709;0.803163444639719;8.83625987708516;-1.06262597178232;11.2385602678571;0
Renault SA;Var 2018_2019;-0.032776607046448;-0.0130907045179159;0.0675071340346693;0.416331132227412;0.0623934745556367;-0.0225204039286208;-0.10914876690533;-0.100193506772737;0.365282215122471;0
Renault SA;Var 2019_2020;-0.217206546986694;-0.17855341913135;0.0244174912224705;0.526381623834433;-0.0526638891389937;-0.282839432792732;0.0275049115913556;0.173539183115107;0.265600624024961;1
Renault SA;Var 2020_2021;-0.0417490914109583;-0.0714495422638589;-0.0535130082567378;-0.0142293079043433;-0.0172546376698895;0.100876154392612;-0.581261950286807;0.617403641522819;-0.673651771956857;0
Societe BIC;Var 2018_2019;-0.000512820512820513;0.0384615384615385;4.88888888888889;0;0.0105618926911703;-0.0183150183150183;0.0469587535578553;-0.00795080326765278;0.185619227869999;0
Societe BIC;Var 2019_2020;-0.16469984607491;-0.130658436213992;0.452830188679245;-0.125;-0.0932274247491639;-0.0945273631840796;0.120166197324751;-0.347102888086643;0.279256450484158;1
Societe BIC;Var 2020_2021;0.125307125307125;0.0662721893491124;-0.168831168831169;-0.142857142857143;0.15076071922545;0.184065934065934;-0.211806627199012;1.38572548389042;-0.232186784897025;0
Ubisoft;Var 2018_2019;-0.135969664138678;-0.106481481481481;-0.545454545454545;0.321348314606742;0.09607783520827;0.43695652173913;-0.382615125455843;-0.396049135864182;-0.436605462892422;0
Ubisoft;Var 2019_2020;0.39435736677116;0.132124352331606;-0.214634146341463;0.611394557823129;0.355062413314841;0.259455370650529;0.595625065589035;0.040520916909244;0.714267899661355;1
Ubisoft;Var 2020_2021;-0.0445143884892086;-0.0251716247139588;2.73291925465838;-0.25065963060686;0.0151484135107472;0.0864864864864865;-0.263284267668859;-0.160907624971205;-0.274039554444192;0
AirFrance;Var n_n+1;0.0367602196461257;0.0553127496592885;-0.2;0.0145631067961165;0.0370482842392955;0.359139784946237;0.027602523659306;-0.229520295202952;-0.286892003297609;0
AirFrance;Var n+1_n+2;-0.592173017507724;-0.335767723548272;-0.75;0.689504224778581;-0.0180250528713193;-3.81751054852321;-1.72294704528012;0.524909963985594;-6.46473988439306;1
Bouygues;Var n+1_n+2;-0.0852909383321469;-0.0810474848761084;-0.534178999295278;0.308781869688385;0.0286727456940223;0.00610169491525424;0.0247668060469604;-1.90566037735849;-0.0347490347490347;1
Bouygues;Var n+2_n+3;0.0834438231394477;0.0902395767577479;1.40393343419062;0.0470779220779221;0.0992317541613316;0.0772405660377359;0.0574387947269303;0.283549783549784;-0.444666666666667;0
Carrefour;Var 2018_2019;-0.00032359841436777;0.0122881141952969;-0.043080674659622;0.40020297699594;0.0862425598378994;0.0342902711323764;0.611884368308351;0.37197768133912;3.17532467532468;0
Carrefour;Var 2019_2020;-0.0268673626284697;-0.0231471473468913;-0.118496496071353;-0.0659579608601111;-0.075314783149386;-0.032211085410777;0.0667552308203255;-0.817374136229023;0.561430793157076;1
Carrefour;Var 2020_2021;-0.00540540540540541;-0.000272363605413227;0.0142134425439653;-0.0803586825314709;0.00168109607464067;0.047180667433832;0.0905977584059776;0.275393807713199;0.121513944223108;1
Nexity;Var 2018_2019;0.066243654822335;0.118348357080547;0.602352941176471;0.253812636165577;0.146661204424416;-0.00454029511918275;0.234118618304734;0.487174148938855;0.193460920953747;0
Nexity;Var 2019_2020;0.0740299928588431;0.0746229849193968;0.584434654919236;-0.430929626411816;0.0930094081219483;-0.0125427594070696;1.19526914320331;-1.58607157356035;1.46339700678714;1
Nexity;Var 2020_2021;-0.00975177304964539;-0.0408903943866441;0.00648748841519926;-0.0648854961832061;-0.0968620614512966;0.122401847575058;-0.872487680348194;1.45738628255016;-0.937763337724413;0
Sanofi;Var 2018_2019;0.048254649914401;0.0398600889018436;0.732217573221757;-0.0403962375607761;0.0119201493609077;0.00123655458626239;0.396069947719488;0.917754266738744;0.660504201680672;1
Sanofi;Var 2019_2020;-0.00235287604495377;-0.0228451296426069;-0.392402283706632;-0.0209300123117719;0.0148754612546125;0.0701089531027949;-0.0420971074380165;4.3981220657277;-0.100033738191633;0
Sanofi;Var 2020_2021;0.047723426098055;0.000215146299483649;0.150343332128659;-0.0828980460437222;0.0509470077700961;0.091364699930437;0.418441628471286;-3.01657916551534;0.589315838800375;1
Perrier;Var 2019_2020;-0.0288496213487198;-0.0674182638105975;1.03833865814696;0.0144849020558296;0.0241456286598583;0.0406034951639984;1.14810126582278;0.733727810650888;6.16017316017316;1
Perrier;Var 2020_2021;-0.194743573874654;-0.226305609284333;-0.0109717868338558;0.0268135698024115;0.0082132928986606;0.0339287337514771;-0.532115497937537;-0.596296296296296;-0.713087248322148;1
Edenred;Var 2018_2019;0.183119819140919;0.162327718223583;0.434343434343434;0.130140081337551;0.222283356258597;0.28118538938663;0.0683229813664596;-1.55588235294118;0.0587412587412587;0
Edenred;Var 2019_2020;-0.0936305732484076;-0.0606060606060606;-0.375586854460094;0.20031987205118;0.0609948233175782;-0.087248322147651;0.730232558139535;0.661680092059839;0.828269484808454;1
Edenred;Var 2020_2021;0.11243851018974;0.0659186535764376;0.308270676691729;0.0356429047301799;0.0949299957573186;0.2336860670194;-0.74260752688172;0.387755102040816;-0.805635838150289;1
Boiron;Var 2018_2019;-0.0779345660132536;-0.0551153032047235;-0.168533034714446;1.32334759866857;-0.00364239835114337;0.0399511977335339;-0.390862044520062;0.148298525642652;-0.428208996160176;0
Boiron;Var 2019_2020;-0.0781532982842209;-0.0658916556624536;-0.0686868686868687;-0.0876995497339337;0.0229469973818599;0.00733785593745116;0.332091940645912;0.423889402020082;1.31586521165607;1
Boiron;Var 2020_2021;-0.113674155246874;0.0735268131368804;-0.052060737527115;-0.134155916993831;-0.0142244836094195;0.0443879254472966;-0.506683557574699;0.38348158874638;-0.604891604529136;1
Casino;Var 2018_2019;0.00920504529697923;0.0243821345450515;-0.295588904047294;0.215446459117345;-0.157080216662368;-0.333236798918815;-0.771805273833671;0.676767676767677;-1.41080038572806;1
